"date"	"amount_H2"
2024-10-31 12:49:25	0.0655575962386073
2024-10-31 14:49:56	0.147070595889102
2024-10-31 16:50:31	0.195518750167025
2024-10-31 18:51:11	0.202419321078582
2024-10-31 20:51:50	0.22360027552586
2024-10-31 22:52:29	0.246066045483044
2024-11-01 00:53:09	0.274316525309745
2024-11-01 02:53:48	0.32069369762755
2024-11-01 04:54:31	0.365202052968733
2024-11-01 06:55:08	0.642302918429392
2024-11-01 08:55:47	0.640972778165835
2024-11-01 10:56:25	0.729196919815921
2024-11-01 12:57:06	1.11691505751748
2024-11-01 14:57:45	1.45424705458266
2024-11-01 16:58:29	1.19969267460423
2024-11-01 18:59:08	1.7101390675346
2024-11-01 20:59:45	1.66980482720923
2024-11-01 23:00:25	1.50312261576007
2024-11-02 01:01:03	1.50844723024754
2024-11-02 03:01:40	2.38832340702958
2024-11-02 05:02:27	1.79015678790126
2024-11-02 07:03:12	1.71881550282841
2024-11-02 09:03:56	1.98051903358343
2024-11-02 11:04:36	2.24351683785927
2024-11-02 13:05:19	1.97381305817584
2024-11-02 15:06:05	1.67758078616431
2024-11-02 17:06:44	1.81748196411056
2024-11-02 19:07:29	1.85020754172603
2024-11-02 21:08:09	1.93462434265404
2024-11-02 23:08:48	1.8228188617291
2024-11-03 01:09:25	1.90725396452241
2024-11-03 03:10:00	1.99589038946686
2024-11-03 05:10:36	1.96298953157102
2024-11-03 07:11:12	1.92570163058228
