"date"	"amount_H2"
2024-10-27 15:52:26	0.137452570857527
2024-10-27 17:53:04	1.0998471009558
2024-10-27 19:53:41	0.969811659412338
2024-10-27 21:54:19	0.857757218451314
2024-10-27 23:54:58	0.856672204176435
2024-10-28 01:55:35	0.916234626743564
2024-10-28 03:56:15	1.20663309613972
2024-10-28 05:56:53	1.91125574906007
2024-10-28 07:57:31	2.37742204232619
2024-10-28 09:58:06	3.28121037777981
2024-10-28 11:58:44	4.10713267955481
2024-10-28 13:59:16	4.86902605514438
2024-10-28 15:59:45	4.54694499701561
2024-10-28 18:00:14	4.80193567155243
2024-10-28 20:00:43	4.26122934646816
2024-10-28 22:01:11	4.19513678253503
2024-10-29 00:01:41	5.46703137190813
2024-10-29 02:02:07	6.61439065679475
2024-10-29 04:02:36	6.30204407054432
2024-10-29 06:03:02	5.70120879664713
2024-10-29 08:03:27	6.69897611960389
2024-10-29 10:03:50	7.69731913713412
2024-10-29 10:36:57	8.42915109442642
2024-10-29 12:37:26	10.5284055029467
2024-10-29 14:37:53	10.1787911928691
2024-10-29 16:38:20	9.07174389860185
2024-10-29 18:38:50	7.97978155942177
2024-10-29 20:39:17	7.51482510339129
2024-10-29 22:39:48	7.79761147325579
2024-10-30 00:40:15	7.65884883433069
2024-10-30 02:40:44	8.48393643627625
2024-10-30 04:41:14	8.7636773933076
2024-10-30 06:41:43	8.16020507917117
2024-10-30 08:42:12	7.74640636335181
2024-10-30 10:42:37	7.84744973831317
2024-10-30 12:43:06	7.67517762586856
2024-10-30 14:43:37	7.98852279580512
2024-10-30 16:44:05	7.87953888507485
2024-10-30 18:44:36	7.85858161613026
2024-10-30 20:45:07	7.80772108254032
2024-10-30 22:45:35	7.87764791749782
2024-10-31 00:46:07	7.77371881140982
2024-10-31 02:46:42	7.69623039822612
2024-10-31 04:47:15	7.72690227433916
2024-10-31 06:47:48	7.72750279979997
