"date"	"amount_H2"
2025-05-20 18:28:44	3.45704347138158
2025-05-20 20:29:20	4.89163143636205
2025-05-20 22:29:56	6.22055401734775
2025-05-21 00:30:30	10.9989729524353
2025-05-21 02:31:09	15.7028286386085
2025-05-21 04:31:42	22.2182660650585
2025-05-21 06:32:14	29.4820665076877
2025-05-21 08:32:46	35.9725684532007
2025-05-21 10:33:21	39.4028480984143
2025-05-21 12:33:52	40.8377785614668
2025-05-21 13:30:35	41.2763057970908
2025-05-21 15:31:04	40.559299931815
2025-05-21 17:31:30	39.2757630741449
2025-05-21 19:31:58	37.4212177542157
2025-05-21 21:32:25	36.3015746682496
2025-05-21 23:32:55	35.89817273786
2025-05-22 01:33:27	35.5130562863935
2025-05-22 03:34:04	34.9514756408867
2025-05-22 05:34:37	34.8750884377425
2025-05-22 07:35:10	34.3422235871988
2025-05-22 09:35:52	33.5379948795766
