BioGasFermentation:ExpParam,11
 
name,importable
InocToSubRatio,2
ProcessTemp,42
MeasurementType,AMPTSV2
CO2 concentration [%] of flush gas,0
Process temperature [Celsius],45
Mixer on time [min],15
Mixer off time [min],5
Mixer speed adjustment [%],60
Eliminate overestimation,No
timeScale,Day
 
BioGasFermentation:metaData,15,16
 
Row,Layout,Blank,Excluded,Flow Cell nr.,Name,Substrate VS/COD amount [g],Inoculum VS/COD amount [g],Type of unit [VS/COD],Headspace volume [ml],Assumed CH4 content [%],yield,sd_yield,production,sd_production,time_production,sd_time_production
R1,Blank,TRUE,FALSE,1,Blank 1,0,12.44,VS,200,60,2.03999999999996,2.8849956672411,71.6,5.26794551983978,1,0
R2,Blank,TRUE,FALSE,2,Blank 2,0,12.44,VS,200,60,-2.04000000000002,2.8849956672411,79.05,5.26794551983978,1,0
R3,Cellulose,FALSE,FALSE,3,Cellulose,8.22,16.43,VS,200,60,28.9901698468953,NA,182.26,NA,3,NA
R4,S1 ctrl,FALSE,FALSE,4,untr. sub A 1 1,5.59,11.18,VS,200,60,625.882259892205,9.87799079478673,699.8,0.777817459305218,3,0
R5,S1 ctrl,FALSE,FALSE,5,untr. sub A 1 2,5.59,11.18,VS,200,60,611.912671341221,9.87799079478673,700.9,0.777817459305218,3,0
R6,S1 7d,FALSE,FALSE,6,Treatment A - Sub A 1,6.7,13.4,VS,200,60,255.168661515573,9.49000623347673,355.2,6.49124025129251,3,0
R7,S1 7d,FALSE,FALSE,7,Treatment A - Sub A 2,6.7,13.4,VS,200,60,268.589557037961,9.49000623347673,364.38,6.49124025129251,3,0
R8,S1 4d,FALSE,FALSE,8,Treatment B - Sub A 1,3.72,7.43,VS,200,60,1095.30245825122,11.2129647909123,659.32,20.7394418922015,3,0
R9,S1 4d,FALSE,FALSE,9,Treatment B - Sub A 2,3.72,7.43,VS,200,60,1079.4449313695,11.2129647909123,629.99,20.7394418922015,3,0
R10,S2 ctrl,FALSE,FALSE,10,untr. sub B 1 1,6.46,12.94,VS,200,60,77.8018924273043,0.0207972582702038,119.88,0.0494974746830535,1,0
R11,S2 ctrl,FALSE,FALSE,11,untr. sub B 1 2,6.46,12.94,VS,200,60,77.8313041920102,0.0207972582702038,119.81,0.0494974746830535,1,0
R12,S2 4d,FALSE,FALSE,12,Treatment A - Sub B 1,1.94,3.88,VS,200,60,402.727085888554,2.21973211207529,110.78,0.219203102167831,2,0
R13,S2 4d,FALSE,FALSE,13,Treatment A - Sub B 2,1.94,3.88,VS,200,60,399.587910630822,2.21973211207529,111.09,0.219203102167831,2,0
R14,S2 6d,FALSE,FALSE,14,FTreatment B - Sub B 1,5.01,10.02,VS,200,60,103.66261688841,42.3219639534124,110.42,25.5406969364581,7,3.53553390593274
R15,S2 6d,FALSE,FALSE,15,FTreatment B - Sub B 2,5.01,10.02,VS,200,60,163.514912297591,42.3219639534124,146.54,25.5406969364581,2,3.53553390593274
 
BioGasFermentation:BioGasData,735,7
 
Row,reactor,time,product,production,net_product,yield,rel_production
46,1,45,494.51,0.71,2.01499999999999,2.01499999999999,99.62
47,1,46,495.18,0.71,1.995,1.995,99.75
48,1,47,495.89,0.71,2.01499999999999,2.01499999999999,99.9
49,1,48,496.4,0.71,2.03999999999996,2.03999999999996,100
50,2,0,0,0,0,0,0
51,2,1,79.05,79.05,3.72500000000001,3.72500000000001,16.06
52,2,2,125.24,46.19,4.57000000000001,4.57000000000001,25.44
53,2,3,166.83,41.59,5.13000000000002,5.13000000000002,33.89
54,2,4,209.75,42.92,5.285,5.285,42.6
55,2,5,235.06,25.31,4.41500000000002,4.41500000000002,47.75
56,2,6,256.95,21.89,4.285,4.285,52.19
57,2,7,282.42,25.47,4.005,4.005,57.37
58,2,8,300.02,17.56,3.56999999999999,3.56999999999999,60.94
59,2,9,314.01,14.03,3.31999999999999,3.31999999999999,63.78
60,2,10,327.23,13.22,3.09000000000003,3.09000000000003,66.47
61,2,11,343.81,16.53,3.24000000000001,3.24000000000001,69.83
62,2,12,357.69,13.88,2.59999999999997,2.59999999999997,72.65
63,2,13,367.18,9.49,2.37,2.37,74.58
64,2,14,377.54,10.36,2.21999999999997,2.21999999999997,76.69
65,2,15,386.68,9.19,2.04000000000002,2.04000000000002,78.54
66,2,16,396.02,9.34,1.96500000000003,1.96500000000003,80.44
67,2,17,404.44,8.42,1.60999999999996,1.60999999999996,82.15
68,2,18,412.91,8.47,1.45499999999998,1.45499999999998,83.87
69,2,19,420.62,7.71,1.17500000000001,1.17500000000001,85.44
70,2,20,429.09,8.47,0.739999999999952,0.739999999999952,87.16
71,2,21,435.72,6.63,1.12,1.12,88.5
72,2,22,440.67,4.95,0.635000000000048,0.635000000000048,89.51
73,2,23,444.91,4.24,0.105000000000018,0.105000000000018,90.37
74,2,24,448.89,4.03,-0.149999999999977,-0.149999999999977,91.18
75,2,25,453.12,4.18,-0.230000000000018,-0.230000000000018,92.04
76,2,26,456.39,3.32,-0.485000000000014,-0.485000000000014,92.7
77,2,27,460.22,3.83,-0.58499999999998,-0.58499999999998,93.48
78,2,28,464.81,4.59,-0.58499999999998,-0.58499999999998,94.41
79,2,29,468.08,3.27,-0.660000000000025,-0.660000000000025,95.08
80,2,30,469.81,1.74,-0.920000000000016,-0.920000000000016,95.43
81,2,31,471.45,1.63,-1.19499999999999,-1.19499999999999,95.76
82,2,32,473.18,1.74,-1.40500000000003,-1.40500000000003,96.11
83,2,33,475.02,1.84,-1.48000000000002,-1.48000000000002,96.49
84,2,34,477.06,2.04,-1.45499999999998,-1.45499999999998,96.9
85,2,35,479.56,2.5,-1.53000000000003,-1.53000000000003,97.41
86,2,36,481.04,1.48,-1.85999999999996,-1.85999999999996,97.71
87,2,37,482.11,1.07,-1.91499999999996,-1.91499999999996,97.93
88,2,38,483.18,1.07,-1.96499999999997,-1.96499999999997,98.14
89,2,39,484.25,1.07,-1.99000000000001,-1.99000000000001,98.36
90,2,40,485.68,1.43,-1.96499999999997,-1.96499999999997,98.65
