"date"	"amount_H2"
2025-05-11 19:11:47	3.63235807980032
2025-05-11 21:12:33	3.29120840908739
2025-05-11 23:13:20	3.7348558332814
2025-05-12 01:14:09	4.46207845948023
2025-05-12 03:14:58	5.21988702741526
2025-05-12 05:15:42	7.4150111371277
2025-05-12 07:16:26	11.0951526736002
2025-05-12 09:17:13	13.3058845107635
2025-05-12 11:17:56	21.4092822336263
2025-05-12 13:18:42	27.3214523577361
2025-05-12 15:19:28	34.4224104250068
2025-05-12 17:20:10	46.2558867024553
2025-05-12 19:20:52	56.6361450888771
2025-05-12 21:21:34	66.0149867355774
2025-05-12 23:22:16	73.5295993149307
2025-05-13 01:22:59	78.0414210167383
2025-05-13 03:23:48	80.2366562979939
2025-05-13 05:24:52	80.8884973900753
2025-05-13 07:25:42	78.3934637777569
2025-05-13 09:26:32	75.9944218022636
2025-05-13 11:27:20	75.3995831445105
2025-05-13 14:56:26	72.1808868046641
2025-05-13 16:57:06	71.8610982468975
2025-05-13 18:57:48	71.1267079817333
2025-05-13 20:58:28	70.3692876537384
2025-05-13 22:59:11	68.9130960099789
2025-05-14 00:59:56	67.1298686629039
2025-05-14 03:00:40	66.4394458825892
2025-05-14 05:01:24	65.4950591119434
2025-05-14 07:02:07	64.1853302972241
2025-05-14 09:02:52	64.5095464423929
2025-05-14 11:03:42	63.1415210602116
2025-05-14 13:04:36	62.0173599229688
2025-05-14 15:05:26	61.3726227957491
2025-05-14 17:06:17	60.1597832506242
2025-05-14 19:07:07	59.2897623260966
2025-05-14 21:07:55	59.6234008618687
2025-05-14 23:08:43	59.3488133456407
2025-05-15 01:09:37	59.0682067336035
2025-05-15 03:10:34	58.4968001459951
2025-05-15 05:11:31	58.4106329070873
2025-05-15 07:12:24	58.4488621505524
2025-05-15 09:13:20	58.5567763330562
2025-05-15 11:14:16	58.5193180625219
2025-05-15 13:15:17	57.6254685674853
2025-05-15 15:16:09	57.8989987494082
2025-05-15 17:17:05	57.9749836386809
2025-05-15 19:18:03	58.2388601381212
2025-05-15 21:19:00	58.0684971482286
2025-05-15 23:20:00	58.4215972435522
2025-05-16 01:20:59	58.3899763394934
2025-05-16 03:21:57	58.6198859743857
2025-05-16 05:22:58	58.8682273692719
2025-05-16 07:23:58	58.9212537860574
2025-05-16 09:24:59	59.2445722984569
2025-05-16 11:26:01	58.4034903935791
2025-05-16 13:27:10	57.6304138081409
2025-05-16 15:28:09	60.9420839764835
2025-05-16 17:29:08	59.7820010076184
2025-05-16 19:30:09	59.6447292773023
2025-05-16 21:31:14	59.2518855273998
2025-05-16 23:32:13	59.4103810411088
2025-05-17 01:33:13	59.1820959563204
2025-05-17 03:34:16	58.7720540031133
2025-05-17 05:35:26	58.6195335296173
2025-05-17 07:36:33	58.3411186834832
2025-05-17 09:37:36	58.2208964688353
2025-05-17 11:38:42	58.2884226836681
2025-05-17 13:39:42	58.3180776067535
2025-05-17 15:40:31	58.6236417139482
2025-05-17 17:41:17	58.8132184506646
2025-05-17 19:42:11	58.7297881656608
2025-05-17 21:43:01	58.8591794512349
2025-05-17 23:43:51	58.7385717501216
2025-05-18 01:44:45	58.5424582643427
